Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,5.20525400523697,6.26144090094189,6.16751147853204,6.2187912988121,5.87801958279415,6.29410751798666,6.00349602680757,6.25911404379391,6.74434136699477,7.86405541423793,8.58787727006612,8.47397462426879,8.32580424109958,8.25761165876528,8.5678167339011,8.41699152531486,8.73754482079233,8.01962000384069,7.92785051617717,7.53345590140778,7.76048234226552,8.32561178499203,8.50025282921525,8.79902680198845
Singapore,SGP,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,3.23600287304303,3.65068682041496,3.60257678148161,3.50690966845268,3.05617258711101,2.43087588242282,2.23566450373604,2.52882699008142,2.50866656569806,2.90939912044432,3.12925203595013,3.30791946446502,3.25483601863517,3.33397644470185,3.53179002124859,3.95444602298831,4.06005348984329,3.86436639847653,3.62218440864235,3.69636248365507,4.11133222749717,3.91566396251366,3.66571469910343,4.0272730280579
Philippines,PHL,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,7.02051280559495,7.64871449009602,7.04762007902919,6.4662367868793,6.74186964470987,6.93340794539667,6.74615419088332,7.3078769167619,10.7813448872193,11.5252124462395,11.0314560167,10.3058308474717,10.4345381890065,10.2391644607478,12.1719794929641,11.7161639521676,11.6171437275481,11.0747677813784,11.1920718061376,12.0340148217894,13.7943614007826,13.1759958322266,13.9186828860783,13.9096015233525
Indonesia,IDN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,10.0072129258352,9.92527155089655,11.1215668273071,11.4970317546412,9.68934247690891,8.08094555754746,8.85969798094525,10.550507641297,7.25634632574598,8.91538831122844,8.45631571755487,9.43034288706684,8.25440848334444,8.7816360469734,9.55759666725371,9.96743784080884,11.6088464408771,10.9918137066306,10.2087283524839,10.6159984251183,12.6098405783724,11.5637815053867,10.997103973879,11.814123641417
Malaysia,MYS,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,4.33738340914225,5.25227871755226,5.73363820357425,5.04585100225291,5.50910476236322,5.16903955711743,5.21699338515735,5.88761321232614,7.04345988890733,8.02775274407169,7.7731144881094,8.80925967164154,8.42050951347772,7.59021803966676,7.922959787103,8.74914278355844,8.69098019831858,7.99408780017611,7.44824533588816,7.74470784056747,8.90112247147793,8.86726797037418,8.23088244062583,8.34559944038586
Thailand,THA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,4.36823203679912,5.01674644094297,5.04115476108551,4.95349627681406,4.47855572681604,4.02002524906897,3.89321672990578,4.16695567762463,4.77401592336827,5.35210450481141,4.75017544782742,4.77731622166213,5.13352584301096,5.1529190739202,5.56237043090643,6.3253278398908,6.83357247628395,6.34209597236378,5.99558842485145,6.57184807226633,7.83778966021131,6.82955384587696,6.50488999044386,7.02762772372685
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
