Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,56.45,58.15,62.35,65.04,68.6,70.23,73.15,76.31,80.05,81.29,83.37,87.35,93.58,95.5,98.54,100.72,100.74,102.45,105.9,105.36,107.14,112.81,113.65,..
Singapore,SGP,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,57.18,58.11,76.67,83.95,94.7,74.47,77.6,80.52,73.76,73.71,76.05,83.75,87.43,96.5,95.25,99.27,105.48,133.2,111.07,123.45,123.38,133.72,131.01,..
Philippines,PHL,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,70.04,72.74,74.97,77.33,79.54,81.05,84.09,89.06,92.86,92.59,91.51,95.14,98.47,98.7,100.59,100.77,98.64,101.95,101.61,101.33,100.67,100.25,100.51,..
Indonesia,IDN,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,72.03,73.06,76.92,81.68,84.88,85.43,87.91,88.35,92.85,96.05,95,95.63,101.01,100.07,99.6,101.74,98.66,110,115.55,109.5,110.75,111.75,117.14,..
Malaysia,MYS,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,59.71,61.2,63.39,64.29,66.86,68.97,69.42,71.24,72.69,74.81,80.47,82.85,86.23,90.08,96.27,100.75,102.98,101.08,99.81,96.88,102.84,102.8,102.8,..
Thailand,THA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,77.92,80.79,81.65,86.15,83,82.21,84.52,93.49,91.5,93.46,94.45,100.68,106.29,105,102.95,96.59,100.46,102.09,103.94,100.49,96.08,100.1,104.2,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
