Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Viet Nam,VNM,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,19.5,17.7,16,15.3,15.2,14.9,13.8,12.5,11.3,10.4,9.3,8.8,8.4,8.3,8,7.7,7.3,6.9,6.4,5.9,5.6,5.4,5.3
Singapore,SGP,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Philippines,PHL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,18.5,18.3,17.8,17.6,17.3,17,16.7,16.4,16,15.7,14.9,14.3,13.7,12.9,11.4,9.7,7.8,6.4,5.8,5.2,4.6,3.5,3
Indonesia,IDN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,18.1,18.1,18,18.2,18.4,18.1,17.5,16.5,15,12.9,10.9,9.5,8.3,7.8,7.1,6.6,6,6,6.4,6.6,6.6,6.6,6.3
Malaysia,MYS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,2.5,2.8,2.9,3.1,3.2,3.4,3.6,3.6,3.8,3.5,3.4,3.5,3.7,3.8,3.7,3.3,3.1,2.9,2.8,2.7,2.5,2.5,2.5
Thailand,THA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,17.3,16.3,14.9,13.6,11.8,10.6,10.1,10.6,10.4,10.2,9.4,9.3,8.7,8.2,7.8,7.9,8.1,7.6,6.8,6,5.4,5.1,4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
